SchCode,School,City,County,Enrollment,Conditional_Num,Cond_Per,PBE_Num,PBE_Per,FRPM_Per
0111724,CALIFORNIA MONTESSORI PROJECT-SHINGLE SPRINGS CAMPUS,SHINGLE SPRINGS,EL DORADO,43,0,0,3,0.069767442,0.081967212
6005466,BUCKEYE ELEMENTARY,SHINGLE SPRINGS,EL DORADO,79,0,0,4,0.050632911,0.378823519
6005474,WILLIAM BROOKS ELEMENTARY,EL DORADO HILLS,EL DORADO,111,0,0,8,0.072072072,0.099365748
6107361,BLUE OAK ELEMENTARY,CAMERON PARK,EL DORADO,88,0,0,5,0.056818182,0.236331567
6110456,SILVA VALLEY ELEMENTARY,EL DORADO HILLS,EL DORADO,96,1,0.010416667,2,0.020833333,0.077419356
6005482,CAMINO ELEMENTARY,CAMINO,EL DORADO,68,0,0,7,0.102941176,0.522624433
6005508,GOLD OAK ELEMENTARY,PLACERVILLE,EL DORADO,63,7,0.111111111,0,0,0.449511409
6110167,SUTTERS MILL,PLACERVILLE,EL DORADO,91,3,0.032967033,9,0.098901099,0.258992791
0110155,LAKE TAHOE ENVIRONMENTAL SCIENCE MAGNET,SOUTH LAKE TAHOE,EL DORADO,67,1,0.014925373,17,0.253731343,0.184895828
6005540,BIJOU COMMUNITY,SOUTH LAKE TAHOE,EL DORADO,111,2,0.018018018,5,0.045045045,0.780276835
6005573,TAHOE VALLEY ELEMENTARY,SOUTH LAKE TAHOE,EL DORADO,153,4,0.026143791,15,0.098039216,0.808314085
6095301,SIERRA HOUSE ELEMENTARY,SOUTH LAKE TAHOE,EL DORADO,70,4,0.057142857,2,0.028571429,0.650099397
6005581,LATROBE ELEMENTARY,SHINGLE SPRINGS,EL DORADO,12,0,0,1,0.083333333,0.071428575
6106678,INDIAN CREEK ELEMENTARY,PLACERVILLE,EL DORADO,111,9,0.081081081,1,0.009009009,0.581358612
6005631,PIONEER ELEMENTARY,SOMERSET,EL DORADO,26,0,0,1,0.038461538,0.662251651
6005656,LOUISIANA SCHNELL ELEMENTARY,PLACERVILLE,EL DORADO,83,2,0.024096386,3,0.036144578,0.636150241
6005664,SIERRA ELEMENTARY,PLACERVILLE,EL DORADO,88,1,0.011363636,3,0.034090909,0.440528631
6005680,PINEWOOD ELEMENTARY,POLLOCK PINES,EL DORADO,77,0,0,5,0.064935065,0.536585391
0108258,LAKEVIEW ELEMENTARY,EL DORADO HILLS,EL DORADO,83,0,0,5,0.060240964,0.032312926
6005706,JACKSON ELEMENTARY,EL DORADO HILLS,EL DORADO,87,1,0.011494253,5,0.057471264,0.083333336
6005714,RESCUE ELEMENTARY,RESCUE,EL DORADO,71,1,0.014084507,5,0.070422535,0.291560113
6098693,GREEN VALLEY ELEMENTARY,RESCUE,EL DORADO,97,0,0,7,0.072164948,0.282608688
6109441,LAKE FOREST ELEMENTARY,EL DORADO HILLS,EL DORADO,73,0,0,3,0.04109589,0.083333336
0121566,AMERICAN RIVER CHARTER,GEORGETOWN,EL DORADO,20,0,0,3,0.15,0.336585373
6005490,GEORGETOWN ELEMENTARY,GEORGETOWN,EL DORADO,22,0,0,1,0.045454545,0.613545835
6005623,NORTHSIDE ELEMENTARY,COOL,EL DORADO,48,0,0,11,0.229166667,0.363036305
0125260,NEW SPIRIT CHARTER ACADEMY,FRESNO,FRESNO,12,0,0,2,0.166666667,0.913978517
6069488,FRESNO COUNTY SPECIAL EDUCATION LOCAL PLAN,FRESNO,FRESNO,12,0,0,0,0,0.837499976
6085112,EDISON-BETHUNE CHARTER ACADEMY,FRESNO,FRESNO,95,5,0.052631579,0,0,0.959537566
6005730,ALVINA ELEMENTARY CHARTER,CARUTHERS,FRESNO,25,0,0,0,0,0.817142844
6005797,BURREL ELEMENTARY,RIVERDALE,FRESNO,18,0,0,0,0,0.894308925
6005839,CLAY ELEMENTARY,KINGSBURG,FRESNO,23,0,0,3,0.130434783,0.246031746
0106419,JAMES S. FUGMAN ELEMENTARY,FRESNO,FRESNO,107,3,0.028037383,2,0.018691589,0.112640798
0108142,WOODS -HAROLD L.- ELEMENTARY,CLOVIS,FRESNO,131,2,0.015267176,6,0.045801527,0.157068059
